Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.330002,94.545494,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,94.795784,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,94.862526,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,95.262955,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,95.579971,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,95.713455,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,94.820801,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,95.621696,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,95.880295,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,94.804115,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,95.988747,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,95.012680,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,93.185669,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,91.108398,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,91.575562,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,91.191818,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,91.625595,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,90.574471,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,89.590057,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,90.983238,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,92.084450,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,91.625595,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,88.797531,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,88.981056,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,88.338684,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,89.448265,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,89.273064,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,90.207405,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,90.132324,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,91.550552,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,91.984360,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,92.526634,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,92.718491,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,92.735176,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,91.608948,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,92.451553,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,92.326401,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,92.384804,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,93.344177,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,93.602791,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,93.686218,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,93.969864,135770400
2010-03-05,113.370003,114.339996,113.099998,114.250000,95.312996,176118800
2010-03-08,114.260002,114.519997,114.070000,114.269997,95.329704,114631200
